name,model,loss,optimizer,learning_rate,epochs,batch_size,seq_len,iots,train_test_split,train_val_split,model_filename,train,test,tr_star,ws_star,benign_test,gafgyt_combo,gafgyt_junk,gafgyt_scan,gafgyt_tcp,gafgyt_udp,mirai_ack,mirai_scan,mirai_syn,mirai_udp,mirai_udpplain
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987102381,0.974576854,0.973800049,0,0,0.987188993,0.99234778,0.988084267,0.995328105,0.98633448
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987102381,0.974576854,0.973800049,0,0,0.987188993,0.99234778,0.988084267,0.995328105,0.98633448
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Provision_737_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987102381,0.974576854,0.973800049,0,0,0.987188993,0.99234778,0.988084267,0.995328105,0.98633448
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Provision_838_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987102381,0.974576854,0.973800049,0,0,0.987188993,0.99234778,0.988084267,0.995328105,0.98633448
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0.000378812,0.986441427,0.973861927,0.973009883,0,0,0.99344277,0.983692576,0.994121624,0.9951277,0.99064465
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0.000378812,0.986441427,0.973861927,0.973009883,0,0,0.99344277,0.983692576,0.994121624,0.9951277,0.99064465
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Provision_737_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0.000378812,0.986441427,0.973861927,0.973009883,0,0,0.99344277,0.983692576,0.994121624,0.9951277,0.99064465
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Provision_838_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0.000378812,0.986441427,0.973861927,0.973009883,0,0,0.99344277,0.983692576,0.994121624,0.9951277,0.99064465
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987356477,0.973078466,0.973260535,0,0,0.993180143,0.983010487,0.993917325,0.995301877,0.991330712
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987356477,0.973078466,0.973260535,0,0,0.993180143,0.983010487,0.993917325,0.995301877,0.991330712
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Provision_737_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987356477,0.973078466,0.973260535,0,0,0.993180143,0.983010487,0.993917325,0.995301877,0.991330712
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Provision_838_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987356477,0.973078466,0.973260535,0,0,0.993180143,0.983010487,0.993917325,0.995301877,0.991330712
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Danmini_Doorbell,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.971449144,0.940931609,0.942879158,0.981495751,0.983877061,0.98335535,0.984203928,0.986065447,0.992842867,0.979251543
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Ecobee_Thermostat,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.971449144,0.940931609,0.942879158,0.981495751,0.983877061,0.98335535,0.984203928,0.986065447,0.992842867,0.979251543
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Ennio_Doorbell,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.971449144,0.940931609,0.942879158,0.981495751,0.983877061,0.98335535,0.984203928,0.986065447,0.992842867,0.979251543
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Philips_Baby_Monitor,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.971449144,0.940931609,0.942879158,0.981495751,0.983877061,0.98335535,0.984203928,0.986065447,0.992842867,0.979251543
